Key number,Scientific name[5],Frequency (Hz) (Equal temperament) [6],Corresponding open strings,,,,,,Notes
86,A♯7/B♭7,3729.31,,,,,,,
85,A7,3520,,,,,,,"Conversely, starting from a frequency on the idealized standard piano tuned to A440, one obtains the key number by:"
84,G♯7/A♭7,3322.438,,,,,,,
83,G7,3135.963,,,,,,,
82,F♯7/G♭7,2959.955,,,,,,,
81,F7,2793.826,,,,,,,
80,E7,2637.02,,,,,,,
79,D♯7/E♭7,2489.016,,,,,,,
78,D7,2349.318,,,,,,,
77,C♯7/D♭7,2217.461,,,,,,,
76,C7 Double high C,2093.005,,,,,,,
75,B6,1975.533,,,,,,,
74,A♯6/B♭6,1864.655,,,,,,,
73,A6,1760,,,,,,,
72,G♯6/A♭6,1661.219,,,,,,,
71,G6,1567.982,,,,,,,
70,F♯6/G♭6,1479.978,,,,,,,
69,F6,1396.913,,,,,,,
68,E6,1318.51,,,,,,,
67,D♯6/E♭6,1244.508,,,,,,,
66,D6,1174.659,,,,,,,
65,C♯6/D♭6,1108.731,,,,,,,
64,C6 Soprano C (High C),1046.502,,,,,,,
63,B5,987.7666,,,,,,,
62,A♯5/B♭5,932.3275,,,,,,,
61,A5,880,,,,,,,
60,G♯5/A♭5,830.6094,,,,,,,
59,G5,783.9909,,,,,,,
58,F♯5/G♭5,739.9888,,,,,,,
57,F5,698.4565,,,,,,,
56,E5,659.2551,E,,,,,,
55,D♯5/E♭5,622.254,,,,,,,
54,D5,587.3295,,,,,,,
53,C♯5/D♭5,554.3653,,,,,,,
52,C5 Tenor C,523.2511,,,,,,,
51,B4,493.8833,,,,,,,
50,A♯4/B♭4,466.1638,,,,,,,
49,A4 A440,440,A,A,,,,,
48,G♯4/A♭4,415.3047,,,,,,,
47,G4,391.9954,,,,,,,
46,F♯4/G♭4,369.9944,,,,,,,
45,F4,349.2282,,,,,,,
44,E4,329.6276,,,,,High E,,
43,D♯4/E♭4,311.127,,,,,,,
42,D4,293.6648,D,D,,,,,
41,C♯4/D♭4,277.1826,,,,,,,
40,C4 Middle C,261.6256,,,,,,,
39,B3,246.9417,,,,,B,,
38,A♯3/B♭3,233.0819,,,,,,,
37,A3,220,,,A,,,,
36,G♯3/A♭3,207.6523,,,,,,,
35,G3,195.9977,G,G,,,G,,
34,F♯3/G♭3,184.9972,,,,,,,
33,F3,174.6141,,,,,,,
32,E3,164.8138,,,,,,,
31,D♯3/E♭3,155.5635,,,,,,,
30,D3,146.8324,,,D,,D,,
29,C♯3/D♭3,138.5913,,,,,,,
28,C3,130.8128,,C,,C (6 string),,,
27,B2,123.4708,,,,,,,
26,A♯2/B♭2,116.5409,,,,,,,
25,A2,110,,,,,A,,
24,G♯2/A♭2,103.8262,,,,,,,
23,G2,97.99886,,,G,G,,,
22,F♯2/G♭2,92.49861,,,,,,,
21,F2,87.30706,,,,,,,
20,E2,82.40689,,,,,Low E,,
19,D♯2/E♭2,77.78175,,,,,,,
18,D2,73.41619,,,,D,,,
17,C♯2/D♭2,69.29566,,,,,,,
16,C2 Deep C,65.40639,,,C,,,,
15,B1,61.73541,,,,,Low B (7 string),,
14,A♯1/B♭1,58.27047,,,,,,,
13,A1,55,,,,A,,,
12,G♯1/A♭1,51.91309,,,,,,,
11,G1,48.99943,,,,,,,
10,F♯1/G♭1,46.2493,,,,,Low F♯ (8 string),,
9,F1,43.65353,,,,,,,
8,E1,41.20344,,,,E,,,
7,D♯1/E♭1,38.89087,,,,,,,
6,D1,36.7081,,,,,,,
5,C♯1/D♭1,34.64783,,,,,,,
4,C1 Pedal C,32.7032,,,,,,,
3,B0,30.86771,,,,B (5 string),,,
2,A♯0/B♭0,29.13524,,,,,,,
1,A0,27.5,,,,,,,
97,G♯0/A♭0,25.95654,,,,,,,
96,G0,24.49971,,,,,,,
95,F♯0/G♭0,23.12465,,,,,,,
94,F0,21.82676,,,,,,,
93,E0,20.60172,,,,,,,
92,D♯0/E♭0,19.44544,,,,,,,
91,D0,18.35405,,,,,,,
90,C♯0/D♭0,17.32391,,,,,,,
89,C0 Double Pedal C,16.3516,,,,,,,
